date,barrels
8/1/06,0.00
9/1/06,-3.76
10/1/06,-12.14
11/1/06,-13.32
12/1/06,-14.03
1/1/07,-8.79
2/1/07,-19.48
3/1/07,-5.65
4/1/07,-7.14
5/1/07,-5.04
6/1/07,-9.08
7/1/07,-8.88
8/1/07,-9.60
9/1/07,-8.61
10/1/07,-13.29
11/1/07,-15.03
12/1/07,-15.73
1/1/08,-11.11
2/1/08,-19.57
3/1/08,-19.72
4/1/08,-13.76
5/1/08,-17.36
6/1/08,-16.29
7/1/08,-17.62
8/1/08,-17.69
9/1/08,-23.83
10/1/08,-14.11
11/1/08,-16.98
12/1/08,-20.02
1/1/09,-16.64
2/1/09,-23.47
3/1/09,-21.08
4/1/09,-25.15
5/1/09,-29.62
6/1/09,-25.81
7/1/09,-29.46
8/1/09,-32.57
9/1/09,-28.20
10/1/09,-35.61
11/1/09,-32.48
12/1/09,-36.48
1/1/10,-30.04
2/1/10,-31.58
3/1/10,-29.53
4/1/10,-24.91
5/1/10,-27.53
6/1/10,-24.56
7/1/10,-24.42
8/1/10,-26.01
9/1/10,-29.49
10/1/10,-35.56
11/1/10,-36.78
12/1/10,-36.85
1/1/11,-29.96
2/1/11,-40.19
3/1/11,-32.88
4/1/11,-35.47
5/1/11,-32.51
6/1/11,-32.38
7/1/11,-35.78
8/1/11,-39.30
9/1/11,-40.11
10/1/11,-41.24
11/1/11,-40.50
12/1/11,-45.58
1/1/12,-40.18
2/1/12,-44.23
3/1/12,-44.29
4/1/12,-45.40
5/1/12,-41.15
6/1/12,-38.94
7/1/12,-43.79
8/1/12,-41.99
9/1/12,-45.60
10/1/12,-49.46
11/1/12,-49.58
12/1/12,-55.30
1/1/13,-46.38
2/1/13,-55.31
3/1/13,-52.22
4/1/13,-48.42
5/1/13,-50.13
6/1/13,-53.22
7/1/13,-52.02
8/1/13,-51.47
9/1/13,-52.35
10/1/13,-58.82
11/1/13,-59.69
12/1/13,-63.26
1/1/14,-59.87
2/1/14,-59.11
3/1/14,-60.85
4/1/14,-58.15
5/1/14,-60.76
6/1/14,-65.17
7/1/14,-62.57
8/1/14,-63.84
9/1/14,-61.06
10/1/14,-64.37
11/1/14,-65.36
12/1/14,-66.45
1/1/15,-64.11
2/1/15,-66.20
3/1/15,-59.59
4/1/15,-67.53
5/1/15,-65.81
6/1/15,-63.67
7/1/15,-66.20
8/1/15,-61.28
9/1/15,-66.89
10/1/15,-68.96
