date	barrels
1/1/2006	-5.24
2/1/2006	-8.58
3/1/2006	-12.71
4/1/2006	-10.44
5/1/2006	-3.55
6/1/2006	-3.90
7/1/2006	-6.29
8/1/2006	0.00
9/1/2006	-3.76
10/1/2006	-12.14
11/1/2006	-13.32
12/1/2006	-14.03
1/1/2007	-8.79
2/1/2007	-19.48
3/1/2007	-5.65
4/1/2007	-7.14
5/1/2007	-5.04
6/1/2007	-9.08
7/1/2007	-8.88
8/1/2007	-9.60
9/1/2007	-8.61
10/1/2007	-13.29
11/1/2007	-15.03
12/1/2007	-15.73
1/1/2008	-11.11
2/1/2008	-19.57
3/1/2008	-19.72
4/1/2008	-13.76
5/1/2008	-17.36
6/1/2008	-16.29
7/1/2008	-17.62
8/1/2008	-17.69
9/1/2008	-23.83
10/1/2008	-14.11
11/1/2008	-16.98
12/1/2008	-20.02
1/1/2009	-16.64
2/1/2009	-23.47
3/1/2009	-21.08
4/1/2009	-25.15
5/1/2009	-29.62
6/1/2009	-25.81
7/1/2009	-29.46
8/1/2009	-32.57
9/1/2009	-28.20
10/1/2009	-35.61
11/1/2009	-32.48
12/1/2009	-36.48
1/1/2010	-30.04
2/1/2010	-31.58
3/1/2010	-29.53
4/1/2010	-24.91
5/1/2010	-27.53
6/1/2010	-24.56
7/1/2010	-24.42
8/1/2010	-26.01
9/1/2010	-29.49
10/1/2010	-35.56
11/1/2010	-36.78
12/1/2010	-36.85
1/1/2011	-29.96
2/1/2011	-40.19
3/1/2011	-32.88
4/1/2011	-35.47
5/1/2011	-32.51
6/1/2011	-32.38
7/1/2011	-35.78
8/1/2011	-39.30
9/1/2011	-40.11
10/1/2011	-41.24
11/1/2011	-40.50
12/1/2011	-45.58
1/1/2012	-40.18
2/1/2012	-44.23
3/1/2012	-44.29
4/1/2012	-45.40
5/1/2012	-41.15
6/1/2012	-38.94
7/1/2012	-43.79
8/1/2012	-41.99
9/1/2012	-45.60
10/1/2012	-49.46
11/1/2012	-49.58
12/1/2012	-55.30
1/1/2013	-46.38
