date	Afghanistan	Albania	Algeria	Angola	Argentina	Armenia	Australia	Austria	Azerbaijan	Bahrain	Bangladesh	Belarus	Belgium	Benin	Bolivia	Bosnia and Herzegovina	Botswana	Brazil	Brunei	Bulgaria	Cambodia	Cameroon	Canada	Chile	China	Colombia	Congo	Costa Rica	Cote d’Ivoire	Croatia	Cuba	Cyprus	Czech Republic	Democratic Republic of Congo	Democratic People’s Republic of Korea	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Eritrea	Estonia	Ethiopia	Finland	France	Gabon	Georgia	Germany	Ghana	Gibraltar	Greece	Guatemala	Haiti	Honduras	Hong Kong	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kazakhstan	Kenya	Korea	Kosovo	Kuwait	Kyrgyzstan	Latvia	Lebanon	Libya	Lithuania	Luxembourg	Macedonia	Malaysia	Malta	Mauritius	Mexico	Moldova	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nepal	Netherlands	New Zealand	Nicaragua	Niger	Nigeria	Norway	Oman	Pakistan	Panama	Paraguay	Peru	Philippines	Poland	Portugal	Qatar	Romania	Russia	Saudi Arabia	Senegal	Serbia	Singapore	Slovakia	Slovenia	South Africa	South Sudan	Spain	Sri Lanka	Sudan	Sweden	Switzerland	Syria	Taiwan	Tajikistan	Tanzania	Thailand	Togo	Trinidad and Tobago	Tunisia	Turkey	Turkmenistan	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Uzbekistan	Venezuela	Vietnam	Yemen	Zambia	Zimbabwe	Afghanistan01	Albania01	Algeria01	Angola01	Argentina01	Armenia01	Australia01	Austria01	Azerbaijan01	Bahrain01	Bangladesh01	Belarus01	Belgium01	Benin01	Bolivia01	Bosnia and Herzegovina01	Botswana01	Brazil01	Brunei01	Bulgaria01	Cambodia01	Cameroon01	Canada01	Chile01	China01	Colombia01	Congo01	Costa Rica01	Cote d’Ivoire01	Croatia01	Cuba01	Cyprus01	Czech Republic01	Democratic Republic of Congo01	Democratic People’s Republic of Korea01	Denmark01	Dominican Republic01	Ecuador01	Egypt01	El Salvador01	Eritrea01	Estonia01	Ethiopia01	Finland01	France01	Gabon01	Georgia01	Germany01	Ghana01	Greece01	Guatemala01	Haiti01	Honduras01	Hong Kong01	Hungary01	Iceland01	India01	Indonesia01	Iran01	Iraq01	Ireland01	Israel01	Italy01	Jamaica01	Japan01	Jordan01	Kazakhstan01	Kenya01	Korea01	Kosovo01	Kuwait01	Kyrgyzstan01	Latvia01	Lebanon01	Libya01	Lithuania01	Luxembourg01	Macedonia01	Malaysia01	Malta01	Mauritius01	Mexico01	Moldova01	Mongolia01	Montenegro01	Morocco01	Mozambique01	Myanmar01	Namibia01	Nepal01	Netherlands01	New Zealand01	Nicaragua01	Niger01	Nigeria01	Norway01	Oman01	Pakistan01	Panama01	Paraguay01	Peru01	Philippines01	Poland01	Portugal01	Qatar01	Romania01	Russia01	Saudi Arabia01	Senegal01	Serbia01	Singapore01	Slovakia01	Slovenia01	South Africa01	Spain01	Sri Lanka01	Sudan01	Sweden01	Switzerland01	Syria01	Taiwan01	Tajikistan01	Tanzania01	Thailand01	Togo01	Trinidad and Tobago01	Tunisia01	Turkey01	Turkmenistan01	Ukraine01	United Arab Emirates01	United Kingdom01	United States01	Uruguay01	Uzbekistan01	Venezuela01	Vietnam01	Yemen01	Zambia01	Zimbabwe01
2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	0.63	-0.14	2.34	2.82	10.79	1.03	12.57	-3.56	-9.79	1.39	3.10	-0.55	-1.51	0.30	0.20	0.28	0.16	17.52	0.53	-0.71	0.30	0.50	6.34	-7.65	442.50	1.06	0.30	0.40	-0.03	-0.75	1.40	-0.01	0.51	0.18	6.04	-4.26	0.51	-0.01	6.45	0.10	0.00	-0.13	0.50	-1.65	14.18	0.11	0.95	-28.20	0.10	0.10	3.77	1.01	0.20	0.91	4.40	-1.87	0.43	89.21	38.81	11.73	8.41	-0.63	1.06	-7.59	0.01	14.61	-1.30	-2.98	-0.04	15.51	0.00	-1.86	0.58	-0.70	-0.81	0.95	0.91	-0.41	0.14	15.27	0.20	0.32	22.24	-0.82	0.42	-0.14	-0.80	0.22	0.99	0.12	0.19	-16.53	-1.61	0.00	-0.04	-2.63	1.20	1.56	9.04	-0.01	0.00	-0.24	-1.69	0.12	-0.32	3.09	-2.80	-53.19	-9.87	0.11	-1.72	8.94	-3.31	-0.11	12.02	0.00	9.25	0.00	0.00	-1.72	-2.10	1.32	-3.20	-0.29	0.36	9.65	0.30	-0.56	-2.42	27.53	3.54	16.87	16.17	-15.96	99.87	-0.36	2.04	2.35	6.70	0.00	0.05	-0.07	0.02	-0.05	0.07	0.13	0.27	0.35	0.60	-0.43	-1.12	1.34	0.02	-0.06	-0.14	0.04	0.02	0.07	0.08	0.09	1.41	-0.09	0.02	0.03	0.19	-0.46	0.33	0.02	0.08	0.09	0.00	-0.17	0.12	-0.02	0.05	0.00	0.25	-0.78	0.05	0.00	0.08	0.02	0.00	-0.09	0.01	-0.31	0.22	0.07	0.22	-0.35	0.00	0.34	0.07	0.02	0.12	0.64	-0.19	1.42	0.08	0.17	0.16	0.30	-0.14	0.15	-0.13	0.00	0.11	-0.21	-0.19	0.00	0.32	0.00	-0.73	0.11	-0.32	-0.20	0.16	0.28	-0.85	0.07	0.57	0.49	0.26	0.20	-0.23	0.16	-0.23	-0.03	0.01	0.02	0.06	0.01	-1.01	-0.38	0.00	0.00	-0.02	0.26	0.57	0.06	0.00	0.00	-0.01	-0.02	0.00	-0.03	2.51	-0.13	-0.37	-0.39	0.01	-0.23	1.95	-0.62	-0.05	0.24	0.20	0.00	0.00	-0.19	-0.28	0.07	-0.14	-0.04	0.01	0.15	0.05	-0.42	-0.23	0.39	0.72	0.36	2.67	-0.26	0.33	-0.11	0.08	0.08	0.08	0.00	0.00	-0.01
2008	0.90	-0.19	8.31	2.12	12.98	0.85	14.53	-4.17	-5.46	2.71	6.39	0.43	5.93	0.40	1.20	1.56	-0.05	42.95	0.68	-1.90	0.30	0.30	-18.93	-4.93	651.60	1.95	0.57	0.30	0.18	-0.27	4.46	0.46	-2.98	0.09	12.64	-7.26	0.66	0.62	29.57	-0.30	0.00	-0.33	1.20	-6.81	11.06	0.31	0.83	-28.68	0.70	0.10	0.55	-0.46	0.20	0.51	-0.43	-3.40	0.30	186.94	30.07	33.56	13.02	-0.88	-2.06	-16.49	-0.96	-38.17	-1.81	13.22	-0.04	31.01	7.78	1.33	1.31	-1.17	1.20	4.14	2.10	-0.56	0.78	20.70	0.30	0.51	32.38	-0.46	0.47	0.44	0.84	-0.07	-0.14	0.31	0.15	-20.71	0.17	-0.20	0.11	-2.21	-0.75	7.60	8.85	1.01	0.10	3.28	-0.08	-3.20	-3.83	6.86	-6.04	12.03	19.59	0.21	-0.22	16.06	-3.01	0.39	25.11	0.00	-23.59	-0.99	0.00	-3.32	-0.77	3.37	-6.41	-0.60	0.70	21.23	0.40	2.31	0.31	21.62	7.54	12.67	40.34	-21.68	-83.05	0.71	5.98	6.61	19.24	4.00	0.19	-2.36	0.03	-0.06	0.24	0.10	0.32	0.29	0.68	-0.50	-0.62	2.46	0.04	0.04	0.55	0.05	0.12	0.42	-0.02	0.22	1.80	-0.25	0.02	0.02	-0.57	-0.30	0.48	0.04	0.14	0.07	0.01	-0.06	0.39	0.58	-0.29	0.00	0.52	-1.32	0.07	0.04	0.36	-0.05	0.00	-0.25	0.01	-1.28	0.17	0.20	0.19	-0.36	0.03	0.05	-0.03	0.02	0.06	-0.06	-0.34	0.97	0.16	0.13	0.46	0.45	-0.20	-0.29	-0.28	-0.34	-0.30	-0.27	0.82	0.00	0.63	4.34	0.49	0.25	-0.54	0.29	0.69	0.66	-1.14	0.38	0.76	0.73	0.41	0.28	-0.13	0.18	0.71	0.03	0.00	0.00	0.15	0.01	-1.26	0.04	-0.04	0.01	-0.01	-0.16	2.69	0.05	0.29	0.02	0.11	0.00	-0.08	-0.36	4.85	-0.29	0.08	0.75	0.02	-0.03	3.32	-0.56	0.19	0.50	-0.51	-0.05	0.00	-0.36	-0.10	0.17	-0.28	-0.08	0.02	0.32	0.06	1.75	0.03	0.31	1.52	0.27	5.94	-0.35	-0.27	0.21	0.22	0.23	0.22	0.18	0.01	-0.17
2009	5.72	-1.70	15.69	3.62	11.83	-0.18	16.65	-7.59	-13.62	3.08	11.22	-5.40	-10.41	1.50	0.21	3.87	0.23	25.74	-2.59	-7.80	0.10	1.00	-45.15	3.11	1239.46	2.54	0.99	0.10	0.28	-2.49	4.46	-0.09	-10.69	-0.02	11.72	-10.13	-0.21	3.28	33.86	-0.30	-0.20	-1.35	1.80	-8.29	-27.65	-0.09	1.55	-77.18	0.80	0.40	-5.52	1.10	0.40	-0.20	9.56	-7.03	-0.03	368.02	52.54	86.20	21.43	-7.31	-1.19	-56.72	-3.75	-125.32	-1.59	-6.01	-0.09	36.37	8.83	7.66	3.59	-1.31	6.18	5.90	-2.96	-1.01	0.30	24.55	3.80	-0.03	31.36	-1.24	0.77	-0.20	4.93	0.23	-3.03	0.40	0.48	-26.76	-2.20	-0.20	0.03	-33.60	3.86	9.98	11.55	2.01	0.40	5.22	-1.76	-14.68	-2.57	12.46	-18.47	-124.60	35.65	0.01	-1.49	52.89	-5.79	-0.95	3.44	0.00	-52.51	0.06	6.00	-6.54	-2.06	10.10	-36.34	-5.09	1.27	35.04	-1.00	0.57	-2.10	17.45	2.65	-83.40	51.47	-68.77	-494.27	1.75	-13.83	1.94	23.45	3.14	0.11	-2.13	0.20	-0.57	0.44	0.16	0.29	-0.06	0.77	-0.91	-1.52	2.61	0.07	-0.57	-0.96	0.17	0.02	1.04	0.11	0.13	-6.74	-1.05	0.01	0.05	-1.34	0.18	0.92	0.06	0.23	0.02	0.01	-0.58	0.39	-0.11	-1.02	0.00	0.48	-1.83	-0.02	0.22	0.41	-0.05	-0.05	-1.01	0.02	-1.55	-0.43	-0.06	0.36	-0.96	0.03	-0.50	0.08	0.04	-0.02	1.37	-0.70	-0.09	0.30	0.22	1.17	0.72	-1.61	-0.16	-0.96	-1.34	-0.97	-0.23	-0.37	0.00	0.74	4.89	2.68	0.67	-0.62	1.45	0.97	-0.94	-2.02	0.15	0.89	9.18	-0.02	0.27	-0.35	0.29	-0.32	0.15	0.01	-0.06	0.19	0.02	-1.62	-0.51	-0.04	0.00	-0.22	0.80	3.40	0.07	0.56	0.07	0.18	-0.02	-0.39	-0.24	7.80	-0.91	-0.87	1.33	0.00	-0.20	10.60	-1.07	-0.46	0.07	-1.13	0.00	0.18	-0.70	-0.26	0.49	-1.57	-0.68	0.03	0.52	-0.16	0.43	-0.20	0.24	0.53	-1.81	6.83	-1.10	-1.61	0.52	-0.51	0.07	0.27	0.14	0.01	-0.15
2010	7.36	-0.73	18.30	8.97	30.91	-5.46	13.85	-3.76	-10.16	3.53	10.47	-3.56	-1.64	2.10	0.79	5.30	0.94	76.91	-1.34	-6.68	0.10	1.24	-11.56	9.74	1776.32	3.81	1.84	0.30	0.74	-3.39	3.21	-0.48	-7.94	0.69	8.41	-9.21	0.22	8.15	34.43	-0.30	0.00	-1.12	1.30	-3.20	-30.17	0.40	1.32	-44.67	2.82	4.40	-11.60	-0.30	0.30	0.11	19.44	-7.12	0.39	492.54	99.12	89.14	23.76	-6.96	3.23	-45.60	-4.97	-79.45	-1.09	20.72	1.17	98.27	9.27	5.18	1.89	-0.71	5.49	14.97	-2.37	-0.43	-0.19	44.03	5.10	0.55	19.05	-1.08	1.33	1.02	11.26	0.29	-3.03	0.29	1.20	-15.80	-2.65	-0.20	0.20	-23.28	2.41	23.06	15.30	5.00	0.80	11.31	2.26	7.65	-6.24	19.67	-21.85	21.00	104.23	0.58	-2.89	51.54	-3.97	-0.87	15.05	0.00	-65.33	0.07	4.00	-2.13	-0.29	13.44	-5.22	-4.99	1.04	48.84	0.10	5.65	-2.69	17.35	12.05	-54.17	61.89	-53.87	-344.05	0.83	-16.95	15.93	51.90	5.48	-0.33	-0.90	0.26	-0.25	0.51	0.38	0.75	-1.90	0.63	-0.45	-1.13	2.87	0.07	-0.38	-0.15	0.23	0.08	1.42	0.47	0.39	-3.45	-0.90	0.01	0.06	-0.34	0.57	1.31	0.08	0.42	0.07	0.04	-0.79	0.28	-0.57	-0.76	0.01	0.34	-1.66	0.02	0.55	0.41	-0.05	0.00	-0.84	0.01	-0.60	-0.47	0.24	0.31	-0.56	0.11	-1.04	-0.02	0.03	0.01	2.76	-0.71	1.23	0.40	0.41	1.20	0.77	-1.53	0.43	-0.77	-1.76	-0.62	-0.15	1.26	0.03	1.98	5.06	1.73	0.35	-0.34	1.27	2.43	-0.78	-0.85	-0.09	1.56	12.29	0.44	0.16	-0.30	0.49	1.63	0.35	0.01	-0.06	0.13	0.04	-0.95	-0.60	-0.03	0.01	-0.15	0.49	7.58	0.09	1.37	0.13	0.39	0.02	0.20	-0.59	11.05	-1.08	0.15	3.80	0.05	-0.40	10.15	-0.74	-0.42	0.29	-1.40	0.00	0.12	-0.23	-0.04	0.64	-0.23	-0.65	0.02	0.73	0.02	4.25	-0.25	0.24	2.37	-1.18	7.48	-0.86	-1.11	0.25	-0.61	0.55	0.59	0.23	-0.02	-0.06
2011	9.05	-0.49	23.80	9.26	37.18	1.23	4.44	-4.59	-11.74	3.04	14.13	1.00	-3.95	2.20	1.59	8.35	0.56	91.54	-1.05	0.31	0.60	0.73	-0.44	9.52	2615.81	8.29	1.40	-0.10	0.99	-3.38	3.11	-0.62	-9.69	0.08	-10.66	-14.31	2.55	8.06	49.36	0.10	-0.20	-1.03	1.90	-9.29	-46.88	1.02	0.97	-60.76	4.49	0.30	-13.51	1.12	0.30	0.53	15.02	-6.49	0.19	553.03	116.07	116.50	28.64	-10.26	1.43	-54.14	-3.44	-41.07	-2.72	24.17	1.45	157.84	9.26	24.74	3.36	-1.28	7.33	-14.21	-1.03	-0.85	0.58	43.69	4.60	0.28	14.89	-1.16	1.59	15.18	6.43	1.30	-2.56	0.40	0.96	-9.97	-2.97	0.10	0.11	-4.85	0.68	18.44	14.44	3.71	0.30	9.54	8.09	7.39	-6.82	21.00	-9.98	79.18	149.24	0.74	-7.77	65.65	-6.05	-1.09	3.62	0.00	-58.87	1.20	7.00	-5.22	-4.10	11.65	10.60	-4.51	1.19	50.35	-0.80	4.96	-0.87	42.96	6.66	-18.54	82.23	-93.12	-440.73	1.02	-4.52	15.41	49.13	0.81	0.27	-0.72	0.30	-0.17	0.65	0.38	0.89	0.42	0.20	-0.55	-1.28	2.54	0.09	0.11	-0.36	0.23	0.16	2.27	0.27	0.46	-2.67	0.04	0.04	0.04	-0.01	0.55	1.91	0.18	0.31	-0.02	0.05	-0.79	0.27	-0.72	-0.92	0.00	-0.43	-2.57	0.25	0.53	0.57	0.02	-0.04	-0.78	0.02	-1.72	-0.72	0.60	0.23	-0.76	0.18	-1.22	0.07	0.03	0.06	2.12	-0.65	0.59	0.44	0.47	1.54	0.90	-2.24	0.19	-0.91	-1.22	-0.32	-0.36	1.45	0.03	3.17	4.98	7.77	0.61	-0.63	1.58	-2.30	-0.34	-1.63	0.28	1.52	11.02	0.23	0.12	-0.32	0.57	24.28	0.20	0.05	-0.05	0.18	0.04	-0.60	-0.67	0.02	0.01	-0.03	0.14	5.63	0.08	1.00	0.05	0.32	0.08	0.19	-0.65	10.94	-0.50	0.55	5.28	0.06	-1.07	12.67	-1.12	-0.53	0.07	-1.26	0.06	0.20	-0.55	-0.52	0.57	0.46	-0.58	0.02	0.75	-0.12	3.72	-0.08	0.58	1.29	-0.40	9.73	-1.47	-1.41	0.30	-0.16	0.52	0.55	0.03	0.02	-0.05
2012	9.02	-0.54	32.41	10.42	38.10	1.87	-1.73	-7.03	-10.13	4.37	18.54	1.34	-5.00	1.60	3.48	6.45	-0.28	116.96	-1.28	-3.31	2.00	-0.92	-5.98	13.60	2887.99	10.00	0.87	0.50	0.67	-3.53	1.12	-0.55	-12.56	-0.29	-9.67	-18.51	3.43	10.55	53.45	0.20	0.00	-0.85	3.00	-12.96	-55.10	1.63	1.31	-52.84	3.46	-0.60	-18.92	2.29	0.30	3.02	9.00	-11.39	0.09	714.00	130.58	121.89	39.49	-10.45	6.80	-77.06	-0.95	16.31	-2.77	34.56	1.35	161.37	8.59	30.07	4.42	-1.75	3.41	2.58	0.46	-0.82	-0.03	50.14	3.70	0.87	14.74	1.54	2.74	17.98	2.45	3.60	-2.14	0.90	0.58	-10.74	-0.99	0.60	0.20	-7.91	0.33	28.94	19.63	2.97	0.20	9.25	10.11	-5.98	-8.68	46.31	-13.76	126.11	177.36	1.20	-10.37	68.97	-8.68	-1.26	22.15	0.00	-67.62	1.76	2.00	-8.30	-2.54	-0.88	3.64	-4.15	3.17	55.24	-0.70	5.00	-1.12	48.59	28.11	-63.04	82.11	-78.32	-649.55	0.29	-0.24	26.56	56.10	2.13	0.77	0.95	0.29	-0.18	0.86	0.41	0.90	0.65	-0.08	-0.83	-1.09	3.62	0.12	0.14	-0.45	0.16	0.34	1.77	-0.13	0.58	-3.20	-0.45	0.14	-0.04	-0.17	0.79	2.10	0.21	0.19	0.11	0.03	-0.83	0.10	-0.64	-1.19	0.00	-0.39	-3.31	0.34	0.68	0.61	0.03	0.00	-0.64	0.03	-2.39	-0.84	0.93	0.32	-0.66	0.13	-1.71	0.15	0.03	0.36	1.27	-1.15	0.28	0.56	0.52	1.59	1.20	-2.28	0.89	-1.29	-0.33	0.13	-0.35	2.04	0.03	3.23	4.55	8.91	0.79	-0.87	0.69	0.42	0.16	-1.53	-0.01	1.72	8.78	0.69	0.12	0.43	0.97	28.74	0.07	0.14	-0.04	0.40	0.02	-0.64	-0.22	0.10	0.01	-0.05	0.07	8.26	0.11	0.79	0.03	0.31	0.10	-0.16	-0.83	22.47	-0.69	0.88	6.10	0.09	-1.44	12.98	-1.61	-0.61	0.42	-1.45	0.09	0.06	-0.87	-0.32	-0.04	0.16	-0.52	0.06	0.81	-0.10	3.73	-0.10	0.65	5.33	-1.38	9.52	-1.23	-2.07	0.08	-0.01	0.89	0.62	0.09	0.05	0.06
2013	20.65	-0.21	28.49	11.10	27.97	-4.28	-37.34	-8.39	-6.96	9.25	18.53	0.65	-9.51	2.75	5.46	4.08	0.81	142.88	-2.01	-5.50	0.64	0.68	-0.80	7.38	2820.78	9.13	1.34	0.39	2.98	-4.26	4.54	-2.09	-6.99	1.49	-27.93	-20.19	2.59	11.47	56.21	0.32	-0.15	-1.00	3.63	-13.69	-57.50	1.33	2.76	-69.32	6.10	8.89	-31.86	0.41	0.73	0.88	2.17	-13.01	-0.66	504.25	136.69	143.48	50.81	-11.93	-3.57	-108.65	-4.46	-52.24	3.05	29.57	2.41	124.15	6.69	20.38	3.22	-1.38	8.58	4.71	-2.08	-1.69	-0.69	61.69	3.62	0.79	23.77	0.87	6.46	0.50	10.15	3.71	2.27	0.56	1.44	-10.39	-3.98	0.06	1.21	-7.52	-0.13	29.82	16.92	8.25	1.39	18.74	13.55	-15.44	-11.45	56.60	-32.46	64.45	143.27	0.72	3.88	71.29	-7.38	-4.08	5.91	1.42	-113.40	2.33	2.81	-12.56	-2.46	-13.66	-7.73	-4.50	4.47	80.15	-0.36	10.74	-0.33	47.09	33.15	-83.59	67.46	-104.24	-555.21	1.13	-19.49	24.53	49.53	3.11	0.56	0.54	0.65	-0.07	0.74	0.43	0.66	-1.48	-1.61	-0.99	-0.74	7.38	0.12	0.07	-0.85	0.27	0.53	1.13	0.38	0.71	-4.95	-0.76	0.04	0.03	-0.02	0.42	2.04	0.19	0.28	0.08	0.14	-1.00	0.40	-2.41	-0.67	0.02	-1.12	-3.59	0.25	0.73	0.63	0.05	-0.03	-0.76	0.04	-2.52	-0.87	0.73	0.68	-0.86	0.23	-2.91	0.03	0.07	0.10	0.30	-1.32	-2.02	0.39	0.54	1.85	1.50	-2.59	-0.46	-1.80	-1.56	-0.41	0.36	1.72	0.05	2.47	3.49	5.72	0.57	-0.69	1.64	0.76	-0.70	-3.10	-0.33	2.07	8.55	0.63	0.19	0.24	2.25	0.80	0.30	0.14	0.04	0.24	0.05	-0.62	-0.88	0.01	0.07	-0.04	-0.03	7.98	0.09	2.15	0.21	0.61	0.14	-0.41	-1.10	25.72	-1.62	0.45	4.79	0.05	0.54	13.20	-1.36	-1.98	0.11	-2.43	0.11	0.08	-1.31	-0.30	-0.70	-0.33	-0.55	0.09	1.18	-0.05	7.97	-0.03	0.62	6.17	-1.83	7.66	-1.62	-1.76	0.33	-0.67	0.81	0.54	0.12	0.04	0.04
2014	21.38	-0.15	48.92	11.21	30.36	-4.08	-38.35	-10.89	-7.67	9.02	20.59	-2.03	-15.80	2.91	6.05	4.91	0.92	159.99	-0.84	-2.48	0.61	0.99	6.15	1.98	2679.46	11.90	0.99	0.59	3.20	-4.94	6.04	-2.32	-7.07	1.73	-24.01	-23.70	2.41	13.18	59.43	0.45	-0.15	-1.40	4.05	-17.62	-84.11	1.24	2.64	-98.82	6.38	9.47	-34.48	1.05	0.85	1.05	4.27	-12.61	-0.60	569.56	144.40	170.97	52.46	-12.51	-1.60	-125.75	-4.33	-78.86	2.14	28.09	3.42	131.96	6.14	22.06	4.04	-2.18	8.95	4.97	-2.97	-2.05	-0.68	71.41	3.77	0.94	14.85	0.54	7.03	0.50	15.50	4.24	3.49	0.64	1.74	-17.83	-2.34	0.15	1.20	-5.86	0.55	34.11	17.70	9.07	1.47	20.58	17.44	-26.31	-11.82	57.90	-33.52	61.18	169.08	1.23	-6.22	84.13	-10.34	-5.12	5.97	1.47	-117.93	4.10	2.58	-12.10	-6.28	-16.77	-1.39	-3.81	4.96	78.65	-0.39	9.34	0.71	66.85	32.42	-120.87	72.46	-142.72	-507.11	1.27	-17.29	28.25	55.60	3.26	0.51	0.59	0.65	-0.05	1.25	0.42	0.71	-1.40	-1.63	-1.27	-0.81	6.86	0.13	-0.21	-1.41	0.28	0.57	1.37	0.42	0.78	-2.04	-0.34	0.04	0.04	0.17	0.11	1.93	0.25	0.20	0.12	0.14	-1.17	0.53	-2.66	-0.67	0.02	-0.96	-4.20	0.23	0.83	0.65	0.07	-0.03	-1.07	0.04	-3.23	-1.27	0.66	0.66	-1.22	0.24	-3.17	0.07	0.08	0.12	0.59	-1.28	-1.83	0.44	0.57	2.18	1.50	-2.71	-0.20	-2.07	-1.51	-0.62	0.24	1.61	0.07	2.62	3.16	5.89	0.70	-1.10	1.61	0.80	-1.02	-3.68	-0.33	2.36	8.84	0.75	0.12	0.15	2.41	0.80	0.45	0.16	0.07	0.27	0.06	-1.06	-0.51	0.03	0.06	-0.03	0.11	8.60	0.10	2.32	0.22	0.66	0.17	-0.69	-1.14	24.73	-1.68	0.43	5.50	0.08	-0.87	15.38	-1.91	-2.48	0.11	-2.54	0.20	0.07	-1.25	-0.76	-0.87	-0.06	-0.45	0.09	1.15	-0.05	6.90	0.06	0.87	5.93	-2.66	8.07	-2.21	-1.59	0.37	-0.59	0.92	0.60	0.12	0.03	0.04
2015	21.59	-0.22	47.17	11.56	32.10	-4.92	-36.83	-8.53	-6.35	9.09	26.71	-8.29	-9.23	3.10	3.96	4.54	1.66	160.01	-0.05	1.13	0.74	2.34	2.80	0.98	2531.60	10.50	1.45	0.52	3.55	-4.89	7.21	-2.15	-8.12	1.11	-22.11	-25.59	2.55	11.76	62.52	0.52	-0.15	-1.64	4.24	-18.51	-80.52	1.95	0.87	-96.94	6.99	9.88	-35.36	2.54	0.99	1.51	11.15	-9.96	-0.31	607.19	153.39	178.27	50.79	-10.86	0.62	-115.33	-4.48	-109.80	2.79	19.42	5.11	144.60	7.19	25.64	4.43	-1.25	9.74	0.69	-4.07	-2.33	-1.04	54.28	4.00	1.04	25.95	-0.11	7.42	0.61	15.72	4.46	4.47	0.70	2.16	-17.01	-2.56	0.24	1.19	-5.59	1.63	33.70	21.18	9.50	2.14	22.03	26.42	-25.88	-8.12	58.99	-33.88	47.33	199.34	1.57	2.60	91.17	-9.35	-5.17	-43.20	1.52	-107.22	5.31	3.64	-11.95	-6.37	-18.22	-0.92	-4.06	7.61	79.62	-0.35	6.63	1.53	78.22	58.79	-159.77	80.36	-156.01	-655.56	1.45	-13.81	21.71	72.25	-0.80	0.47	-0.27	0.64	-0.08	1.18	0.41	0.74	-1.69	-1.54	-0.99	-0.66	7.12	0.17	-0.87	-0.82	0.29	0.37	1.28	0.75	0.78	-0.13	0.16	0.05	0.10	0.08	0.05	1.81	0.22	0.29	0.11	0.15	-1.16	0.63	-2.46	-0.77	0.01	-0.88	-4.50	0.24	0.73	0.67	0.08	-0.03	-1.25	0.04	-3.38	-1.21	1.01	0.22	-1.19	0.25	-3.27	0.16	0.09	0.17	1.54	-1.01	-0.93	0.46	0.59	2.25	1.41	-2.32	0.08	-1.90	-1.56	-0.86	0.30	1.09	0.11	2.86	3.64	6.51	0.76	-0.64	1.67	0.11	-1.42	-4.08	-0.50	1.76	9.34	0.82	0.21	-0.03	2.49	0.97	0.45	0.16	0.09	0.29	0.08	-1.00	-0.55	0.04	0.06	-0.03	0.31	8.02	0.11	2.39	0.32	0.70	0.26	-0.68	-0.78	23.77	-1.71	0.33	6.32	0.11	0.37	16.47	-1.72	-2.50	-0.78	-2.31	0.26	0.09	-1.22	-0.77	-0.97	-0.04	-0.47	0.14	1.16	-0.05	4.87	0.14	1.00	10.56	-3.72	8.78	-2.39	-2.04	0.42	-0.46	0.70	0.77	-0.03	0.03	-0.02
