num,country,CNTRY_CODE,2000,2013,Percent,Type
1,Canada,CAN,515.9,536.3,0.04,CTRY
2,Chile,CHL,48.6,82.0,0.69,CTRY
3,Mexico,MEX,344.0,451.8,0.31,CTRY
4,United States,USA,5642.6,5119.7,-0.09,CTRY
5,OECD Americas,OEAM,6551.1,6189.8,-0.06,ECON
6,Australia,AUS,334.7,388.7,0.16,CTRY
7,Israel,ISR,54.8,68.2,0.24,CTRY
8,Japan,JPN,1156.6,1235.1,0.07,CTRY
9,South Korea,KOR,431.7,572.2,0.33,CTRY
10,New Zealand,NZL,29.0,30.7,0.06,CTRY
11,OECD Asia Oceania,OEAI,2006.8,2294.9,0.14,ECON
12,Austria,AUT,61.7,65.1,0.06,CTRY
13,Belgium,BEL,114.1,89.1,-0.22,CTRY
14,Czech Republic,CZE,121.3,101.1,-0.17,CTRY
15,Denmark,DNK,50.7,38.8,-0.24,CTRY
16,Estonia,EST,14.5,18.9,0.30,CTRY
17,Finland,FIN,54.4,49.2,-0.10,CTRY
18,France,FRA,364.5,315.6,-0.13,CTRY
19,Germany,DEU,812.4,759.6,-0.06,CTRY
20,Greece,GRC,88.0,68.9,-0.22,CTRY
21,Hungary,HUN,53.3,39.5,-0.26,CTRY
22,Iceland,ISL,2.2,2.0,-0.06,CTRY
23,Ireland,IRL,40.8,34.4,-0.16,CTRY
24,Italy,ITA,420.3,338.2,-0.20,CTRY
25,Luxembourg,LUX,8.1,9.8,0.21,CTRY
26,Netherlands,NLD,157.2,156.2,-0.01,CTRY
27,Norway,NOR,31.9,35.3,0.11,CTRY
28,Poland,POL,289.7,292.4,0.01,CTRY
29,Portugal,PRT,57.8,44.9,-0.22,CTRY
30,Slovakia,SVK,36.9,32.4,-0.12,CTRY
31,Slovenia,SVN,14.1,14.3,0.02,CTRY
32,Spain,ESP,278.5,235.7,-0.15,CTRY
33,Sweden,SWE,52.0,37.5,-0.28,CTRY
34,Switzerland,CHE,41.9,41.5,-0.01,CTRY
35,Turkey,TUR,201.2,283.8,0.41,CTRY
36,United Kingdom,GBR,521.2,448.7,-0.14,CTRY
37,OECD Europe,OEEU,3888.6,3553.0,-0.09,ECON
