num,Country,CNTRY_CODE,2000,2013,Percent,Type
1,Canada,CAN,16.81,15.26,-0.09,CTRY
2,Chile,CHL,3.16,4.65,0.47,CTRY
3,Mexico,MEX,3.41,3.82,0.12,CTRY
4,United States,USA,19.98,16.18,-0.19,CTRY
5,OECD Americas,OEAM,15.26,12.69,-0.17,ECON
6,Australia,AUS,17.51,16.70,-0.05,CTRY
7,Israel,ISR,8.70,8.46,-0.03,CTRY
8,Japan,JPN,9.12,9.70,0.06,CTRY
9,South Korea,KOR,9.18,11.39,0.24,CTRY
10,New Zealand,NZL,7.50,6.89,-0.08,CTRY
11,OECD Asia Oceania,OEAI,9.88,10.76,0.09,ECON
12,Austria,AUT,7.70,7.68,0.00,CTRY
13,Belgium,BEL,11.13,8.02,-0.28,CTRY
14,Czech Republic,CZE,11.81,9.62,-0.19,CTRY
15,Denmark,DNK,9.51,6.91,-0.27,CTRY
16,Estonia,EST,10.36,14.29,0.38,CTRY
17,Finland,FIN,10.51,9.04,-0.14,CTRY
18,France,FRA,5.99,4.79,-0.20,CTRY
19,Germany,DEU,9.88,9.25,-0.06,CTRY
20,Greece,GRC,8.06,6.25,-0.22,CTRY
21,Hungary,HUN,5.22,3.99,-0.23,CTRY
22,Iceland,ISL,7.69,6.26,-0.19,CTRY
23,Ireland,IRL,10.73,7.47,-0.30,CTRY
24,Italy,ITA,7.38,5.58,-0.24,CTRY
25,Luxembourg,LUX,18.44,17.93,-0.03,CTRY
26,Netherlands,NLD,9.87,9.30,-0.06,CTRY
27,Norway,NOR,7.11,6.95,-0.02,CTRY
28,Poland,POL,7.57,7.60,0.00,CTRY
29,Portugal,PRT,5.62,4.30,-0.24,CTRY
30,Slovakia,SVK,6.83,5.98,-0.12,CTRY
31,Slovenia,SVN,7.07,6.96,-0.02,CTRY
32,Spain,ESP,6.92,5.06,-0.27,CTRY
33,Sweden,SWE,5.86,3.91,-0.33,CTRY
34,Switzerland,CHE,5.81,5.14,-0.12,CTRY
35,Turkey,TUR,3.13,3.75,0.20,CTRY
36,United Kingdom,GBR,8.85,7.00,-0.21,CTRY
37,OECD Europe,OEEU,7.45,6.34,-0.15,ECON
38,Albania,ALB,0.98,1.26,0.29,CTRY
39,Armenia,ARM,1.11,1.76,0.58,CTRY
40,Azerbaijan,AZE,3.39,3.13,-0.08,CTRY
41,Belarus,BLR,5.21,6.15,0.18,CTRY
42,Bosnia and Herzegovina,BIH,3.58,5.62,0.57,CTRY
43,Bulgaria,BGR,5.16,5.41,0.05,CTRY
44,Croatia,HRV,3.81,3.76,-0.01,CTRY
45,Cyprus,CYP,9.13,6.49,-0.29,CTRY
46,Macedonia,MKD,4.16,3.94,-0.05,CTRY
47,Georgia,GEO,1.05,1.48,0.41,CTRY
48,Gibraltar,GIB,11.72,15.12,0.29,CTRY
